layer,dataset,column,dtype,role,owner,definition,business_use
output,cohort_retention_summary,cohorts_observed,int64,metric,Analytics Lead,Number of mature signup cohorts contributing to the age-level estimate.,Maturity and sample-size context for retention.
output,cohort_retention_summary,median_month_0_activation_rate,float64,metric,Analytics Lead,Median month-0 activation rate across cohorts mature to the evaluated age.,Activation-quality benchmark with cohort maturity context.
output,cohort_retention_summary,median_retained_from_month_0_rate,float64,metric,Analytics Lead,Median retained-from-month-0 rate across cohorts mature to the evaluated age.,Like-for-like activated-customer retention benchmark by cohort age.
output,cohort_retention_summary,median_revenue_retention,float64,metric,Analytics Lead,Median cohort revenue ratio to month-0 revenue across eligible mature cohorts.,Revenue-retention and expansion monitoring by cohort age.
output,cohort_retention_summary,median_signup_activity_rate,float64,metric,Analytics Lead,Median signup activity rate across cohorts mature to the evaluated age.,Whole-cohort activity benchmark by cohort age.
output,cohort_retention_summary,months_since_cohort,int64,metric,Analytics Lead,Completed months between signup cohort and activity month.,Cohort-retention age axis.
output,cohort_retention_summary,revenue_expansion_share_m6,float64,metric,Analytics Lead,Share of mature cohorts with month-six revenue above signup-month revenue.,Early-life expansion assessment.
output,data_profile_summary,candidate_primary_key,object,temporal,Analytics Lead,Column or column set expected to identify the table grain.,Uniqueness validation.
output,data_profile_summary,column_count,int64,metric,Analytics Lead,Number of columns in the profiled table.,Schema-width monitoring.
output,data_profile_summary,date_max,object,temporal,Analytics Lead,Latest observed date in the profiled table.,Coverage and freshness review.
output,data_profile_summary,date_min,object,temporal,Analytics Lead,Earliest observed date in the profiled table.,Coverage and freshness review.
output,data_profile_summary,duplicate_candidate_key_rows,int64,metric,Analytics Lead,Count of rows duplicated on the candidate primary key.,Grain and uniqueness control.
output,data_profile_summary,duplicate_rows,int64,metric,Analytics Lead,Count of fully duplicated rows.,Duplicate-data quality control.
output,data_profile_summary,grain,object,dimension,Analytics Lead,Intended business grain of one table row.,Key and duplicate validation.
output,data_profile_summary,likely_useful_dimensions,object,dimension,Analytics Lead,Profiled categorical fields suitable for slicing metrics.,Analytical discovery and modeling.
output,data_profile_summary,likely_useful_metrics,object,dimension,Analytics Lead,Profiled numeric fields suitable for aggregation.,Analytical discovery and modeling.
output,data_profile_summary,row_count,int64,metric,Analytics Lead,Number of rows in the profiled table.,Volume reconciliation and monitoring.
output,data_profile_summary,table_name,object,dimension,Analytics Lead,Name of the profiled source table.,Dataset-level quality traceability.
output,data_quality_issues,check_name,object,dimension,Analytics Lead,Stable identifier for a validation or quality check.,Audit and failure traceability.
output,data_quality_issues,column_name,object,dimension,Analytics Lead,Column evaluated by the data-quality check.,Field-level issue traceability.
output,data_quality_issues,description,object,dimension,Analytics Lead,Plain-language description of a data-quality issue.,Reviewer interpretation.
output,data_quality_issues,issue_count,int64,metric,Analytics Lead,Rows affected by the data-quality issue.,Issue prioritization and triage.
output,data_quality_issues,issue_rate,float64,metric,Analytics Lead,Affected rows divided by rows evaluated for the check.,Comparable data-quality severity.
output,data_quality_issues,severity,object,dimension,Analytics Lead,Assigned materiality of a data-quality issue.,Issue prioritization.
output,data_quality_issues,table_name,object,dimension,Analytics Lead,Name of the profiled source table.,Dataset-level quality traceability.
output,low_margin_growth_pockets,contribution_margin,float64,metric,Analytics Lead,Revenue minus direct cost.,Primary profitability measure.
